"Person","DataYear","Country","Region","Gender","Age_years","Handed","Height_cm","Footlength_cm","Armspan_cm","Languages_spoken","Travel_to_school","Travel_time_to_school","Reaction_time","Score_in_memory_game","Favourite_physical_activity","Importance_reducing_pollution","Importance_recycling_rubbish","Importance_conserving_water","Importance_saving_energy","Importance_owning_computer","Importance_internet_access","Left_Footlength_cm","Longer_foot","Index_fingerlength_mm","Ring_fingerlength_mm","Longer_finger_lefthand","Birth_month","Favorite_season","Allergies","Vegetarian","Favorite_food","Beverage","Favorite_school_subject","Sleep_hours_schoolnight","Sleep_hours_non_schoolnight","Home_occupants","Home_internet_access","Communication_with_friends","Text_messages_sent_yesterday","Text_messages_received_yesterday","Activities_hanging_out_with_friends_hours","Activities_talking_on_phone_hours","Activities_doing_homework_hours","Activities_doing_things_with_family_hours","Activities_outdoor_activities_hours","Activities_video_games_hours","Activities_social_websites_hours","Activities_texting_messaging_hours","Activities_computer_use_hours","Activities_Watching_TV_Hours","Activities_paid_work_hours","Activities_work_at_home_hours","Schoolwork_pressure","Planned_education_level","Favorite_music","Superpower","Preferred_status","Role_model_type","Charity_donation"
286,2013,"USA","PA","Male",16,"Right-Handed",181,28,188,2,"Car",4,0.31,35,"Other",800,800,200,600,500,600,27,"Right foot",110,100,"Index finger","March","Spring","Yes","No","Poultry","Water","Mathematics and statistics",7,10,5,"Yes - broadband connection","Text messaging",20,20,3,2,14,1,5,1,1,1,4,0,0,0,"Some","Graduate degree","Rhythm and blues (R&B)","Invisibility","Healthy","Sports person","Religious"
287,2014,"USA","GU","Male",13,"Left-Handed",160,20,152,3,"Car",15,0.69,73,"Basketball",600,500,300,900,1000,1000,20,"Same length",NA,NA,NA,"March","Summer","Yes","No","Pizza/Pasta","Water","Music",8,8,6,"Yes - broadband connection","Other",2,3,6,0,1,1,4,15,7,6,10,5,0,5,"A lot","Some college","Techno/Electronic","Freeze time","Rich","Actor","Wildlife, animals"
288,2010,"USA","CO","Male",17,"Ambidextrous",186,26,183,1,"Car",7,0.21,28,"Football (American)",551,551,460,NA,405,500,27,"Left foot",78,83,"Ring finger","April","Fall","No","No","Seafood","Sports drink","Mathematics and statistics",7,10,4,"Yes - broadband connection","Text messaging",250,240,6,1,16,4,15,2,3,5,7,3,0,4,"Some","Graduate degree","Rap/Hip hop","Fly","Rich","Community leader or elder","Arts, culture, sports"
289,2011,"USA","OH","Male",17,"Left-Handed",127,10,115,2,"Car",2,0.39,40,"Running/Jogging",524,658,380,NA,957,1000,10,"Same length",80,90,"Ring finger","June","Winter","No","No","Meat","Tea","Mathematics and statistics",8,10,4,"Yes - broadband connection","Text messaging",5,5,6,1,5,20,20,1,2,1,10,7,0,20,"Some","Undergraduate degree","Pop","Freeze time","Rich","Friend","Arts, culture, sports"
290,2014,"USA","PA","Male",16,"Right-Handed",168,24,166,3,"Bus",7,0.37,36,"Soccer",861,674,770,738,1000,1000,24,"Same length",94,91,"Index finger","January","Fall","No","No","Meat","Water","Music",7,9,4,"Yes - broadband connection","Text messaging",22,20,4,0,7,20,12,2,4,6,10,8,0,1,"Some","Graduate degree","Other","Invisibility","Happy","Actor","International aid"
291,2012,"USA","AL","Male",12,"Right-Handed",154,25,150,1,"Car",5,0.33,32,"Soccer",706,540,561,NA,941,941,25,"Same length",85,85,"Same length","December","Winter","No","No","Meat","Juice","Physical education",10,11,5,"Yes - broadband connection","In person",0,0,3,0,2,5,4,15,0,0,12,3,0,1,"Very little","Graduate degree","Techno/Electronic","Invisibility","Happy","Relative","Wildlife, animals"
292,2015,"USA","CA","Female",11,"Right-Handed",150,25,150,1,"Walk",10,0.42,53,"Swimming",503,733,877,727,717,893,23,"Right foot",100,90,"Index finger","October","Summer","No","No","Pizza/Pasta","Water","English",7,8,5,"Yes - other","E-mail",0,0,1,0,5,3,5,1,0,0,5,3,2,4,"A lot","Graduate degree","Pop","Fly","Happy","Relative","Health"
293,2015,"USA","NY","Female",11,"Right-Handed",147,22,147,1,"Bus",45,0.6,87,"Hockey (Ice)",1000,513,818,824,0,0,22,"Same length",70,70,"Same length","July","Fall","Yes","No","Rice/Noodle dishes","Tea","Mathematics and statistics",9,7,3,"No internet connection","Text messaging",0,0,16,2,1,18,3,1,2,1,1,2,0,2,"Some","Less than high school","Country","Telepathy","Healthy","Relative","Environment"
294,2013,"USA","RI","Female",12,"Right-Handed",142,23,143,2,"Car",2,0.36,34,"Tennis",1000,1000,1000,1000,513,0,22,"Right foot",70,60,"Index finger","September","Fall","Yes","No","Rice/Noodle dishes","Juice","Science",10,11,3,"Yes - other","Myspace, Facebook, other social networking sites, or blog",52,59,3,1,1,5,4,1,2,2,2,1,0,1,"Some","Undergraduate degree","Rhythm and blues (R&B)","Freeze time","Healthy","Relative","Health"
295,2014,"USA","OH","Female",11,"Left-Handed",149,23,150,1,"Bus",20,0.49,47,"Walking/Hiking",733,770,749,695,41,604,23,"Same length",60,60,"Same length","February","Fall","No","No","No favorite","Water","Other",9,10,4,"Yes - other","In person",0,0,5,0,13,6,5,0,0,0,0,4,0,2,"Some","Graduate degree","Rhythm and blues (R&B)","Fly","Happy","Other","Environment"
296,2012,"USA","DC","Female",12,"Right-Handed",165,20,149,2,"Car",23,0.64,39,"Other",700,700,800,850,900,1000,21,"Left foot",NA,NA,NA,"March","Spring","No","No","Other","Milk","Mathematics and statistics",8,11,4,"Yes - broadband connection","Text messaging",20,25,5,3,2,0,1,1,4,5,5,2,0,0,"Very little","Graduate degree","Rap/Hip hop","Telepathy","Rich","Actor","International aid"
297,2014,"USA","GU","Female",17,"Right-Handed",170,24,163,1,"Bus",15,0.34,37,"None",500,500,1000,1000,1000,1000,24,"Same length",70,75,"Ring finger","May","Spring","Yes","No","Rice/Noodle dishes","Tea","Mathematics and statistics",6,10,4,"Yes - other","Internet chat or instant messaging",20,20,80,0,6,80,0,70,30,9,90,0,0,35,"Some","Undergraduate degree","Rap/Hip hop","Invisibility","Rich","Community leader or elder","International aid"
298,2015,"USA","CO","Male",17,"Right-Handed",175,25,169,2,"Car",13,0.28,34,"Walking/Hiking",898,374,936,642,930,840,25,"Same length",95,76,"Index finger","May","Fall","Yes","No","Meat","Water","Science",7,8,7,"Yes - broadband connection","In person",82,78,15,1,20,5,8,12,1,2,4,1,20,10,"Some","Graduate degree","Rock and roll","Freeze time","Famous","Actor","Health"
299,2014,"USA","GA","Male",15,"Right-Handed",168,26,170,1,"Bus",5,0.2,32,"Table Tennis",727,642,845,765,588,690,26,"Same length",70,75,"Ring finger","September","Winter","Yes","No","Meat","Water","Music",8,12,3,"Yes - broadband connection","Other",0,2,8,0,0,5,1,24,3,0,38,9,0,2,"Some","Graduate degree","Country","Telepathy","Happy","Relative","Wildlife, animals"
300,2011,"USA","SC","Male",15,"Right-Handed",162,10.16,162,1,"Car",20,0.33,35,"Gymnastics",0,0,0,NA,1000,1000,10,"Same length",NA,NA,NA,"July","Fall","No","No","Salads","Tea","Art",8,10,5,"Yes - broadband connection","Cell phone",50,50,7,1,1,6,6,0,10,7,10,7,2,2,"Some","Graduate degree","Rap/Hip hop","Invisibility","Rich","Musician or singer","Health"
301,2013,"USA","LA","Male",16,"Right-Handed",174,25,173,1,"Car",15,0.34,46,"Soccer",900,845,650,760,900,900,24,"Right foot",86,83,"Index finger","August","Summer","No","No","Pizza/Pasta","Juice","Computers and technology",7,11,3,"Yes - broadband connection","Text messaging",80,81,4,7,14,4,8,2,5,5,14,5,12,3,"Some","Undergraduate degree","Rap/Hip hop","Freeze time","Rich","Relative","Health"
302,2014,"USA","GA","Female",15,"Right-Handed",169,23,173,1,"Bus",35,0.31,34,"Swimming",667,723,613,676,234,389,23,"Same length",91,83,"Index finger","August","Spring","No","No","Pizza/Pasta","Water","Mathematics and statistics",6,12,5,"Yes - broadband connection",NA,50,60,5,1,12,3,9,4,5,6,12,3,0,0,"Some","Graduate degree","Rock and roll","Telepathy","Happy","Relative","Wildlife, animals"
303,2011,"USA","LA","Female",17,"Right-Handed",170,25,174,2,"Car",20,0.3,45,"Tennis",861,797,882,NA,460,519,25,"Same length",76,76,"Same length","October","Spring","No","No","Pizza/Pasta","Water","English",7,10,5,"Yes - broadband connection","Text messaging",100,100,3,1,12,6,4,0,8,10,8,1,7,3,"Some","Graduate degree","Pop","Telepathy","Happy","Teacher","Health"
304,2011,"USA","NC","Male",16,"Right-Handed",181,27,176,1,"Car",2,0.25,32,"Football (American)",834,802,807,NA,364,406,28,"Left foot",78,80,"Ring finger","July","Fall","No","No","Pizza/Pasta","Water","History",7,10,4,"Yes - broadband connection","In person",10,10,1,1,5,45,10,5,2,1,8,15,0,1,"Some","Other","Rap/Hip hop","Super strength","Happy","Coach or club leader","Health"
305,2012,"USA","CA","Female",17,"Right-Handed",159,20,152,2,"Car",20,0.33,38,"Running/Jogging",850,800,850,850,900,900,20,"Same length",68,67,"Index finger","September","Spring","No","No","Fruit","Water","Mathematics and statistics",5,8,3,"Yes - broadband connection","Text messaging",20,20,6,3,5,10,5,0,8,4,10,8,5,5,"A lot","Graduate degree","Other","Telepathy","Happy","Religious figure","International aid"
306,2015,"USA","MA","Female",17,"Ambidextrous",172,21,162,3,"Walk",15,0.28,46,"Dancing",0,700,1000,1000,1000,1000,19,"Right foot",70,60,"Index finger","December","Winter","Yes","No","Pizza/Pasta","Water","History",9,9,2,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,1,20,2,10,0,3,5,30,24,32,0,0,5,"A lot","Graduate degree","Rock and roll","Freeze time","Happy","Other","Wildlife, animals"
307,2014,"USA","CA","Male",17,"Right-Handed",188,26,188,1,"Car",25,0.23,85,"Basketball",300,275,500,400,950,940,26,"Same length",80,85,"Ring finger","December","Summer","No","No","Meat","Juice","Other",7,9.5,4,"Yes - broadband connection","Text messaging",100,100,8,3,20,5,15,1,10,20,21,4,0,2,"Some","Undergraduate degree","Rap/Hip hop","Freeze time","Rich","Relative","Other"
308,2013,"USA","WI","Male",13,"Right-Handed",175,27,170,2,"Bus",38,0.36,40,"Other",999,999,500,230,100,50,27,"Same length",82,74,"Index finger","June","Summer","No","No","Rice/Noodle dishes","Soft drink (non-caffeinated)","Computers and technology",9,10.5,3,"Yes - other","Cell phone",0,0,30,3,5,2,1,4,0,0,1,4,0,1,"Very little","Other","Rock and roll","Super strength","Happy","Other","Wildlife, animals"
309,2015,"USA","MT","Female",17,"Right-Handed",172,24,165,1,"Car",11,0.52,62,"Other",800,500,500,400,200,500,25,"Left foot",79,74,"Index finger","November","Winter","No","No","Desserts","Water","Science",8,10,6,"Yes - other","In person",50,50,20,0,6,3,4,0,5,10,15,10,25,3,"Very little","Graduate degree","Country","Fly","Happy","Other","Health"
310,2013,"USA","FL","Female",16,"Left-Handed",165,22.5,164,2,"Car",10,0.38,53,"Table Tennis",900,900,900,800,800,800,23,"Left foot",85,75,"Index finger","November","Fall","No","No","Pizza/Pasta","Juice","English",5,10,3,"Yes - broadband connection","Text messaging",2,2,2,2,11,8,1,0,3,20,12,6,0,3,"A lot","Graduate degree","Pop","Fly","Happy","Other","International aid"
311,2013,"USA","NC","Female",17,"Right-Handed",166,22,172,2,"Car",15,0.3,38,"Walking/Hiking",972,700,980,750,600,600,21,"Right foot",84,78,"Index finger","April","Spring","No","No","Pizza/Pasta","Water","English",8,10,3,"Yes - other","Text messaging",122,134,25,2,11,11,3,2,8,8,8,9,0,8,"Some","Graduate degree","Other","Freeze time","Healthy","Other","Environment"
312,2011,"USA","IN","Female",17,"Right-Handed",162,23,158,1,"Car",4,0.56,45,"Tennis",190,120,150,NA,50,70,22,"Right foot",75,75,"Same length","January","Fall","No","No","Salads","Soft drink (caffeinated)",NA,8,6,4,"Yes - broadband connection","Text messaging",250,230,15,4,4,3,3,1,5,10,3,2,0,2,"Some","Undergraduate degree","Rap/Hip hop","Fly","Happy","Relative","Religious"
313,2014,"USA","IN","Female",17,"Right-Handed",160,26,165,1,"Car",7,0.87,67,"Running/Jogging",1000,1000,1000,100,100,1000,25,"Right foot",90,80,"Index finger","June","Summer","No","Yes","No favorite","Water","Science",6,10,4,"Yes - other","Text messaging",300,300,26,1,3,3,15,3,0,26,84,4,0,3,"Some","Graduate degree","Rock and roll","Invisibility","Healthy","Coach or club leader","Wildlife, animals"
314,2014,"USA","GA","Female",17,"Right-Handed",154,22,160,1,"Car",12,0.39,34,"Other",800,750,750,750,700,700,23,"Left foot",100,100,"Same length","February","Fall","Yes","No","Fruit","Water","English",6,9,3,"Yes - broadband connection","Text messaging",70,70,10,2,20,3,10,1,3,3,2,0,12,4,"A lot","Graduate degree","Other","Fly","Happy","Teacher","Arts, culture, sports"
315,2014,"USA","SC","Male",17,"Right-Handed",182,30,183,1,"Car",14,0.39,44,"Other",529,684,1000,802,1000,1000,30,"Same length",90,90,"Same length","January","Winter","No","No","Pizza/Pasta","Soft drink (caffeinated)","Mathematics and statistics",6,12,4,"Yes - broadband connection","Text messaging",10,12,20,5,6,12,1,18,1,2,24,10,40,0,"A lot","Graduate degree","Rock and roll","Freeze time","Rich","Relative","Other"
316,2014,"USA","MN","Female",16,"Right-Handed",155,23,155,1,"Car",10,0.6,55,"Tennis",200,500,200,200,200,200,23,"Same length",70,80,"Ring finger","October","Summer","No","No","Pizza/Pasta","Milk","Physical education",7,12,4,"Yes - broadband connection","Text messaging",200,210,12,1,8,1,5,0,8,5,2,2,0,1,"Some","Graduate degree","Country","Invisibility","Healthy","Relative","Health"
317,2015,"USA","CA","Male",17,"Right-Handed",180,26.67,184,1,"Car",15,0.34,45,"Basketball",250,250,250,250,1000,1000,25,"Right foot",NA,NA,NA,"October","Summer","Yes","No","Pizza/Pasta","Water","Science",6,10,5,"Yes - broadband connection","In person",150,175,25,1,2,25,10,0,1,1,1,1,25,0,"Very little","Undergraduate degree","Country","Freeze time","Happy","Other","Other"
318,2015,"USA","MA","Male",14,"Right-Handed",168,24,166,1,"Bus",10,0.28,30,"Baseball/Softball",950,900,950,900,1000,1000,26,"Left foot",80,90,"Ring finger","October","Winter","No","No","Pizza/Pasta","Water","Computers and technology",6,5,4,"Yes - broadband connection","Text messaging",133,132,2,0,7,0,0,20,1,4,20,1,3,1,"A lot","Graduate degree","Punk rock","Super strength","Happy","Relative","Health"
319,2013,"USA","NE","Female",14,"Left-Handed",174,24,157,1,"Car",15,0.36,49,"Soccer",733,775,722,797,37,21,25,"Left foot",72,75,"Ring finger","April","Winter","No","No","No favorite","Milk","Art",4,NA,7,"Yes - broadband connection","In person",23,12,12,1,4,2,4,0,3,2,2,0,2,6,"A lot","Graduate degree","Other","Telepathy","Happy","Relative","Health"
320,2012,"USA","NJ","Female",16,"Right-Handed",164,23,162,3,"Walk",2,0.42,40,"Rowing",800,800,800,800,1000,1000,21,"Right foot",70,75,"Ring finger","July","Summer","No","No","Pizza/Pasta","Water","Science",8,12,2,"Yes - other","In person",10,10,15,1,20,14,15,2,3,1,15,2,0,0,"A lot","Undergraduate degree","Pop","Telepathy","Happy","Other","Wildlife, animals"
321,2014,"USA","IN","Female",17,"Left-Handed",155,22,145,1,"Car",10,0.8,48,"Soccer",1000,1000,1000,1000,500,700,20,"Right foot",70,60,"Index finger","December","Winter","Yes","No","Rice/Noodle dishes","Water","Mathematics and statistics",6,8,2,"Yes - broadband connection","Text messaging",5,7,4,1,25,3,8,6,2,3,4,40,10,2,"A lot","Graduate degree","Pop","Invisibility","Happy","Relative","Environment"
322,2012,"USA","SC","Male",16,"Left-Handed",173,24,152,6,"Bus",15,0.4,42,"Martial Arts",500,700,1000,NA,200,300,24,"Same length",75,75,"Same length","January","Fall","Yes","No","No favorite","Water","Other",9,5,6,"Yes - broadband connection","In person",5,5,7,0,2,5,7,2,1,3,2,10,0,3,"A lot","Graduate degree","Punk rock","Telepathy","Happy","Relative","Health"
323,2014,"USA","IN","Male",17,"Right-Handed",177,24,177,1,"Bus",10,0.67,50,"Baseball/Softball",700,800,1000,1000,800,800,24,"Same length",80,90,"Ring finger","August","Spring","No","No","Rice/Noodle dishes","Milk","Art",7,11,5,"Yes - broadband connection","In person",4,2,20,1,4,10,20,10,10,5,30,5,30,20,"A lot","Graduate degree","Other","Invisibility","Happy","Actor","Arts, culture, sports"
324,2013,"USA","CA","Female",11,"Right-Handed",147,25,152,1,"Car",30,0.39,52,"Baseball/Softball",500,50,50,800,100,100,25,"Same length",60,60,"Same length","August","Summer","No","No","Meat","Juice","Physical education",8,8,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",0,0,10,0,1,24,3,5,1,20,20,15,0,5,"A lot","Some college","Rap/Hip hop","Telepathy","Healthy","Relative","Health"
325,2015,"USA","SC","Female",15,"Right-Handed",168,23,162,1,"Car",7,0.49,44,"Running/Jogging",636,561,476,695,711,775,23,"Same length",68,72,"Ring finger","February","Fall","No","No","Desserts","Water","Mathematics and statistics",8,9,4,"Yes - broadband connection","Text messaging",25,20,25,3,9,12,10,0,6,0,40,40,3,7,"Some","Graduate degree","Country","Fly","Happy","Relative","Religious"
326,2015,"USA","CA","Female",8,"Right-Handed",133,19.05,132,1,"Walk",15,0.95,95,"Walking/Hiking",1000,1000,1000,1000,20,20,19,"Same length",NA,NA,NA,"July","Summer","No","No","Meat","Water","Other",10,9.5,3,"Yes - broadband connection","In person",0,0,14,0,0,24,8,1,0,0,1,5,1,2,"None","Graduate degree","Other",NA,"Healthy","Relative","Wildlife, animals"
327,2015,"USA","PA","Female",17,"Right-Handed",170,23.5,188,2,"Bus",12,0.41,34,"Athletics",57,74,899,566,459,654,24,"Same length",86.36,64.52,"Index finger","April","Fall","Yes","No","Breads/Sandwiches","Water","Mathematics and statistics",7,8,7,"Yes - broadband connection","Text messaging",80,76,7,23,12,14,0,20,5,5,25,27,5,10,"A lot","Other","Pop","Invisibility","Healthy","Doctor or nurse","Education/Youth development"
328,2014,"USA","MI","Male",17,"Right-Handed",180,10,183,1,"Car",8,0.3,57,"Swimming",535,545,572,529,358,428,10,"Same length",80,70,"Index finger","December","Winter","No","No","Meat","Milk","History",7,6,4,"Yes - broadband connection","In person",35,40,5,3,9,5,12,6,10,13,8,4,0,3,"Some","Graduate degree","Rap/Hip hop","Fly","Happy","Relative","Religious"
329,2013,"USA","CT","Female",17,"Right-Handed",160,23,157,2,"Bus",35,0.33,70,"Dancing",500,500,500,500,500,500,23,"Same length",95,103,"Ring finger","September","Fall","No","No","Fruit","Water","Science",7,10,6,"Yes - other","In person",150,150,27,7,5,6,7,2,2,8,2,1,0,2,"Some","Graduate degree","Country","Telepathy","Healthy","Doctor or nurse","International aid"
330,2015,"USA","FL",NA,11,"Ambidextrous",164,27,164,1,"Car",4,0.47,61,"Football (American)",209,91,674,706,631,1000,27,"Same length",60,60,"Same length","February","Fall","Yes","No","Pizza/Pasta","Sports drink","Art",9,10,5,NA,NA,27,30,9,1,4,6,16,3,0,2,4,2,35,2,NA,NA,NA,NA,NA,NA,NA
331,2015,"USA","NY","Male",12,"Ambidextrous",142,22,142,1,"Bus",15,0.49,70,"Basketball",1000,1000,1000,1000,0,0,25,"Left foot",72,76,"Ring finger","April","Summer","No","No","Pizza/Pasta","Sports drink","Physical education",5,12,4,"Yes - other","Internet chat or instant messaging",0,5,7,10,4,10,8,7,10,7,8,10,0,2,"A lot","Graduate degree","Rap/Hip hop","Super strength","Rich","Sports person","Arts, culture, sports"
332,2013,"USA","CA","Female",17,"Right-Handed",153,22,148,1,"Car",6,0.39,45,"Skateboarding/Rollerblading",845,631,770,695,840,829,21,"Right foot",70,65,"Index finger","June","Spring","No","No","Seafood","Water","Other",7,8,4,"Yes - broadband connection","In person",30,30,10,1,30,34,1,0,7,3,14,9,0,7,"A lot","Graduate degree","Jazz","Freeze time","Happy","Relative","Environment"
333,2013,"USA","LA","Female",17,"Right-Handed",161,24,162,2,"Car",20,0.29,37,"Walking/Hiking",800,700,800,700,900,1000,24,"Same length",70,70,"Same length","December","Fall","No","No","No favorite","Water","Art",6,6,3,"Yes - broadband connection","Cell phone",75,75,50,2,8,7,15,0,3,25,35,0,0,5,"Some","Graduate degree","Pop","Telepathy","Happy","Relative","Environment"
334,2014,"USA","FL","Male",17,"Right-Handed",174,27,172,2,"Car",25,0.32,59,"Baseball/Softball",1000,1000,1000,1000,1000,1000,28,"Left foot",72,77,"Ring finger","July","Fall","No","No","Meat","Water","Mathematics and statistics",7,9,4,"Yes - broadband connection","Cell phone",9,10,45,3,12,20,7,2,7,1,28,17,0,7,"A lot","Graduate degree","Techno/Electronic","Fly","Happy","Sports person","International aid"
335,2010,"USA","GA","Female",17,"Right-Handed",171,20,173,2,"Car",20,0.31,40,"Athletics",219,594,866,NA,1000,1000,20,"Same length",74,70,"Index finger","May","Fall","No","No","Rice/Noodle dishes","Milk","History",7,9,4,"Yes - broadband connection","Myspace, Facebook, other social networking sites, or blog",30,40,8,11,9,6,6,4,3,1,7,5,10,1,"A lot","Graduate degree","Pop","Fly","Happy","Relative","Religious"
336,2014,"USA","CO","Male",17,"Right-Handed",185,27.5,187,3,"Car",47,0.38,69,"Cycling",679,503,631,460,251,251,27,"Right foot",85,83,"Index finger","January","Winter","Yes","No","Meat","Water","Science",6,9,4,"Yes - broadband connection","Text messaging",70,80,5,1,14,8,14,0,9,12,12,6,22,5,"A lot","Graduate degree","Country","Super strength","Happy","Friend","Wildlife, animals"
