"age","gender","grade","hisp_latino","race","height","weight","helmet","seat_belt","drive_text","fights","bully_school","bully_electronic","depressed","days_smoking","days_vaping","sexuality","describe_weight","drink_juice","eat_fruit","eat_salad","drink_soda","drink_milk","eat_breakfast","days_exercise_60","hours_tv","hours_videogame","number_teams","asthma","hours_sleep","drink_sportsdrink","drink_water","sunburns"
"18 years old or older","Female","12th grade","No","White",1.7,100.25,"Never wore a helmet","Always","All 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","Did not drink fruit juice","Did not eat fruit","Did not eat green salad","Did not drink soda or pop","1 to 3 glasses","7 days","6 days","1 hour per day","2 hours per day","0 teams","No","7 hours","Did not drink sports drink","4 or more times per day","0 times"
"17 years old","Male","12th grade","No","Black or African American",1.88,79.38,"Did not ride a bicycle","Most of the time","0 days","0 times","No","No","No","0 days","0 days","Not sure","About the right weight","4 or more times per day","1 to 3 times","Did not eat green salad","3 times per day","4 to 6 glasses","0 days","0 days","4 hours per day","3 hours per day","0 teams","No","4 or less hours","1 to 3 times","Did not drink water","0 times"
"18 years old or older","Male","12th grade","No","Multiple - Non-Hispanic",1.88,113.4,"Did not ride a bicycle","Sometimes","All 30 days","0 times","No","Yes","No","1 or 2 days","0 days","Heterosexual (straight)","Slightly overweight","4 to 6 times","1 time per day","1 to 3 times","4 to 6 times","2 glasses per day","3 days","2 days","2 hours per day","1 hour per day","1 team","Yes","7 hours","Did not drink sports drink","2 times per day","2 times"
"16 years old","Male","10th grade","No","Black or African American",1.73,65.77,"Did not ride a bicycle","Most of the time","All 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly underweight","1 to 3 times","4 or more times per day","2 times per day","4 to 6 times","4 or more glasses per day","1 day","7 days","Less than 1 hour per day","Less than 1 hour per day","1 team","No","8 hours","4 to 6 times","4 or more times per day","0 times"
"16 years old","Male","10th grade","No","Multiple - Non-Hispanic",1.73,92.99,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","3 times per day","1 to 3 times","4 or more times per day","1 to 3 glasses","0 days","3 days","Less than 1 hour per day","1 hour per day","0 teams","Yes","8 hours","2 times per day","4 or more times per day","0 times"
"17 years old","Female","12th grade","Yes","Hispanic/Latino",1.57,47.63,"Did not ride a bicycle","Most of the time","I did not drive the past 30 days","0 times","No","No","Yes","0 days","6 to 9 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","1 to 3 times","Did not eat green salad","1 to 3 times","Did not drink milk","3 days","2 days","Less than 1 hour per day","1 hour per day","0 teams","No","6 hours","Did not drink sports drink","1 to 3 times","0 times"
"14 years old","Male","9th grade","No","White",1.55,46.27,"Never wore a helmet","Always","I did not drive the past 30 days","1 time","Yes","No","Yes","0 days","0 days","Heterosexual (straight)","About the right weight","1 time per day","1 to 3 times","1 to 3 times","1 to 3 times","1 to 3 glasses","1 day","7 days","1 hour per day","3 hours per day","1 team","No","7 hours","1 to 3 times","3 times per day","0 times"
"17 years old","Male","10th grade","Yes","Hispanic/Latino",1.7,106.6,"Never wore a helmet","Sometimes","1 or 2 days","0 times","No","No","Yes",NA,"1 or 2 days","Heterosexual (straight)","Slightly overweight","4 to 6 times","3 times per day","Did not eat green salad","1 to 3 times","Did not drink milk","0 days","7 days","2 hours per day","No playing video/computer game","1 team","No","7 hours","1 time per day","1 time per day","0 times"
"17 years old","Male","10th grade","No","Black or African American",1.8,66.23,"Never wore a helmet","Always","I did not drive the past 30 days","2 or 3 times","Yes","No","Yes","0 days","20 to 29 days","Heterosexual (straight)","Slightly underweight","4 or more times per day","4 to 6 times",NA,NA,NA,NA,NA,NA,NA,"0 teams",NA,NA,NA,NA,NA
"16 years old","Female","11th grade","Yes","Hispanic/Latino",1.57,74.84,"Most of the time wore a helmet","Always","0 days","0 times","No","No","No","0 days","1 or 2 days",NA,"About the right weight","4 to 6 times","1 to 3 times","1 to 3 times","1 to 3 times","1 to 3 glasses","7 days","5 days","1 hour per day","1 hour per day","0 teams","No","6 hours","1 to 3 times","4 or more times per day","0 times"
"17 years old","Female","11th grade","No","White",1.75,83.92,"Did not ride a bicycle","Always","All 30 days","2 or 3 times","No","Yes","Yes","10 to 19 days","10 to 19 days","Heterosexual (straight)","Slightly overweight","4 or more times per day","3 times per day","1 to 3 times","1 time per day","3 glasses per day","5 days","7 days","Less than 1 hour per day","3 hours per day","3 or more teams","No","5 hours","3 times per day","4 or more times per day","4 times"
"17 years old","Female","12th grade","No","White",1.6,56.7,"Never wore a helmet","Always","0 days","0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","2 times per day","1 to 3 times","1 to 3 times","3 glasses per day","7 days","0 days","1 hour per day","No playing video/computer game","0 teams","No","6 hours","Did not drink sports drink","3 times per day","0 times"
"16 years old","Female","10th grade","No","White",1.68,63.5,"Did not ride a bicycle","Always","20 to 29 days","0 times","Yes","Yes","No","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","4 to 6 times","1 to 3 times","1 to 3 glasses","7 days","5 days","1 hour per day","3 hours per day","2 teams","Yes","5 hours","1 to 3 times","3 times per day","3 times"
"18 years old or older","Female","12th grade","No","White",1.7,113.4,NA,"Always","I did not drive the past 30 days",NA,"No","No","No","0 days","0 days",NA,"Very overweight","4 to 6 times","1 to 3 times","Did not eat green salad","4 or more times per day","4 to 6 glasses","7 days","0 days","4 hours per day","3 hours per day","0 teams","No","8 hours",NA,NA,NA
"18 years old or older","Male","12th grade","No","White",1.88,95.26,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","4 to 6 times","1 to 3 times","Did not eat green salad","Did not drink soda or pop","3 glasses per day","7 days","0 days","No TV on average school day","No playing video/computer game","3 or more teams","No","7 hours","Did not drink sports drink","4 to 6 times","0 times"
"17 years old","Male","11th grade","No","White",1.78,64.86,"Never wore a helmet","Always","I did not drive the past 30 days","0 times","No","No","Yes","0 days","0 days","bisexual","Slightly underweight","1 to 3 times","Did not eat fruit","Did not eat green salad","1 to 3 times","Did not drink milk","5 days","0 days","5 or more hours per day","5 or more hours per day","0 teams","Yes","6 hours","1 to 3 times","1 to 3 times","0 times"
"18 years old or older","Female","12th grade","No","White",NA,NA,"Did not ride a bicycle","Always","1 or 2 days","4 or 5 times","Yes","No","No","1 or 2 days","All 30 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","1 to 3 times","1 to 3 times","1 to 3 times","Did not drink milk","3 days","1 day","No TV on average school day","No playing video/computer game","0 teams","No","5 hours","1 to 3 times","1 time per day","4 times"
"17 years old","Female","10th grade","Yes","Multiple - Hispanic / Latino",1.52,57.15,"Rarely wore a helmet","Always","I did not drive the past 30 days","0 times","Yes","Yes","Yes","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","4 to 6 times","Did not eat green salad","1 to 3 times","1 to 3 glasses","0 days","0 days","3 hours per day","Less than 1 hour per day","0 teams","Yes","7 hours","Did not drink sports drink","1 to 3 times","3 times"
"16 years old","Male","10th grade","No","White",1.83,104.33,"Never wore a helmet","Most of the time","0 days","0 times","No","No","No","20 to 29 days","1 or 2 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","1 to 3 times","4 to 6 times","4 or more glasses per day","0 days","5 days","3 hours per day","3 hours per day","0 teams","Not sure","8 hours","1 to 3 times","4 or more times per day","2 times"
"15 years old","Female","10th grade","Yes","Multiple - Hispanic / Latino",1.55,65.77,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","4 to 6 times","4 to 6 times","1 to 3 times","Did not drink soda or pop","Did not drink milk","0 days","5 days","No TV on average school day","No playing video/computer game","0 teams","No","8 hours","1 to 3 times","3 times per day","1 times"
"16 years old","Female","11th grade","No","White",1.7,70.31,"Never wore a helmet","Most of the time","20 to 29 days","1 time","No","No","No","0 days","0 days","Heterosexual (straight)","Slightly overweight","1 to 3 times","1 to 3 times","1 to 3 times","4 to 6 times","2 glasses per day","0 days","2 days","Less than 1 hour per day","Less than 1 hour per day","0 teams","No","6 hours","4 to 6 times","3 times per day","5 or more times"
"17 years old","Female","11th grade","Yes","Multiple - Hispanic / Latino",1.63,50.35,"Did not ride a bicycle","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","Did not eat fruit","Did not eat green salad","2 times per day","1 to 3 glasses","0 days","5 days","1 hour per day","Less than 1 hour per day","2 teams","No","5 hours","1 to 3 times","1 time per day","4 times"
"16 years old","Female","11th grade","No","White",NA,NA,"Never wore a helmet","Always","0 days","0 times","No","No","No","0 days","1 or 2 days","Heterosexual (straight)","About the right weight","1 to 3 times","1 to 3 times","1 to 3 times","1 to 3 times","1 to 3 glasses","7 days","5 days","5 or more hours per day","2 hours per day","2 teams","No","5 hours","Did not drink sports drink","2 times per day","1 times"
"12 years old or younger","Female","Ungraded or other grade","Yes","Multiple - Hispanic / Latino",NA,NA,"Never wore a helmet","Always","1 or 2 days","4 or 5 times","No","No","No","0 days","6 to 9 days","Heterosexual (straight)","Very overweight","1 to 3 times","Did not eat fruit","4 or more times per day","4 or more times per day","Did not drink milk","0 days","0 days","Less than 1 hour per day","5 or more hours per day","0 teams","Yes","4 or less hours","1 to 3 times","4 or more times per day","4 times"
"18 years old or older","Male","12th grade","No","White",1.8,88,"Never wore a helmet","Sometimes","10 to 19 days","0 times","No","No","No",NA,"6 to 9 days","Heterosexual (straight)","About the right weight","4 to 6 times","1 to 3 times","Did not eat green salad","1 to 3 times","1 glass per day","2 days","4 days","Less than 1 hour per day","Less than 1 hour per day","0 teams","No","7 hours","1 time per day","3 times per day","1 times"
"16 years old","Female","11th grade","Yes","Multiple - Hispanic / Latino",1.7,69.4,"Did not ride a bicycle","Most of the time","1 or 2 days","0 times","Yes","No","Yes","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","2 times per day","1 to 3 times","1 to 3 times","Did not drink milk","3 days","4 days","3 hours per day","Less than 1 hour per day","0 teams","No","7 hours","1 to 3 times","1 to 3 times","0 times"
"15 years old","Female","10th grade","Yes","Hispanic/Latino",1.68,60.78,"Never wore a helmet","Most of the time","I did not drive the past 30 days","0 times","No","No","Yes","0 days","0 days","bisexual",NA,"Did not drink fruit juice","1 to 3 times","4 to 6 times",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14 years old","Male","9th grade","Yes","Hispanic/Latino",1.65,64.41,"Never wore a helmet","Always","0 days",NA,"No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","4 to 6 times","4 to 6 times","Did not eat green salad","4 or more times per day","1 glass per day","1 day","3 days","No TV on average school day","1 hour per day","0 teams","Yes","6 hours","1 time per day","4 or more times per day","2 times"
"15 years old","Male","9th grade","No","White",1.88,86.18,NA,NA,"0 days",NA,"No","No","No","0 days","0 days","Heterosexual (straight)","About the right weight","Did not drink fruit juice","Did not eat fruit","1 to 3 times","1 to 3 times",NA,NA,"4 days","1 hour per day","2 hours per day",NA,"No","7 hours",NA,NA,NA
"18 years old or older","Male","12th grade","No","White",1.8,121.11,NA,"Always","I did not drive the past 30 days","0 times","Yes","Yes","Yes","0 days","0 days","Heterosexual (straight)","About the right weight","4 to 6 times","4 to 6 times","Did not eat green salad","3 times per day","Did not drink milk","0 days","4 days","No TV on average school day","5 or more hours per day","0 teams","Yes","6 hours","Did not drink sports drink","3 times per day","2 times"
"18 years old or older","Male","12th grade","No","White",1.85,86.18,"Rarely wore a helmet","Always","10 to 19 days","0 times","No","No","No","0 days","1 or 2 days","Heterosexual (straight)","About the right weight","1 to 3 times","4 to 6 times","Did not eat green salad","1 to 3 times","2 glasses per day","6 days","5 days","1 hour per day","3 hours per day","3 or more teams","No","8 hours","Did not drink sports drink","4 or more times per day","5 or more times"
"17 years old","Female","12th grade","No","White",1.65,51.71,"Always wore a helmet","Always","I did not drive the past 30 days","0 times","No","No","No","0 days","0 days",NA,"About the right weight","1 time per day","2 times per day","1 time per day","Did not drink soda or pop","1 glass per day","7 days","3 days","Less than 1 hour per day","No playing video/computer game","1 team","No","8 hours","1 time per day","4 or more times per day","1 times"
"17 years old","Female","12th grade","No","White",1.65,74.84,"Did not ride a bicycle","Always","10 to 19 days","0 times","Yes","Yes","Yes","6 to 9 days","1 or 2 days",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17 years old","Female","12th grade","Yes","Multiple - Hispanic / Latino",1.65,61.24,"Never wore a helmet","Always","I did not drive the past 30 days","0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","About the right weight","1 to 3 times","4 or more times per day","1 to 3 times","Did not drink soda or pop","2 glasses per day","7 days","7 days","Less than 1 hour per day","Less than 1 hour per day","1 team","No","7 hours",NA,NA,NA
"15 years old","Male","9th grade","No","Black or African American",NA,NA,"Never wore a helmet","Always",NA,"0 times","No","No","No","0 days","0 days","Not sure","About the right weight","3 times per day","3 times per day","1 to 3 times","Did not drink soda or pop","1 to 3 glasses","0 days","0 days","1 hour per day","No playing video/computer game","0 teams","No","8 hours","Did not drink sports drink","1 to 3 times","0 times"
"17 years old","Male","11th grade","No","White",1.73,68.04,"Never wore a helmet","Most of the time","1 or 2 days","0 times","No","No","No",NA,"0 days","Heterosexual (straight)","About the right weight","1 to 3 times","4 to 6 times","1 to 3 times","4 to 6 times","4 to 6 glasses","6 days","6 days","3 hours per day","No playing video/computer game","2 teams","No","8 hours","4 to 6 times","4 to 6 times","3 times"
"17 years old","Male","11th grade","No","White",1.7,68.04,"Never wore a helmet","Always","0 days","0 times","No","No","Yes","0 days","0 days","Heterosexual (straight)","About the right weight","4 to 6 times","4 to 6 times","1 to 3 times","4 to 6 times","1 glass per day","2 days","2 days","1 hour per day","1 hour per day","0 teams","No","6 hours","Did not drink sports drink","1 time per day","0 times"
"16 years old","Male","11th grade","No","Black or African American",1.68,87.09,"Never wore a helmet","Most of the time",NA,NA,"No","Yes","Yes","0 days","0 days",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
